Mês;Ano;Fase;Aporte (R$);Rendimento (R$);Saldo (R$);% da Meta
1;0,1;Fase 1;300;0,0;300,0;0,03
2;0,2;Fase 1;300;2,49;602,49;0,0602
3;0,2;Fase 1;300;5,0;907,49;0,0907
4;0,3;Fase 1;300;7,53;1215,02;0,1215
5;0,4;Fase 1;300;10,08;1525,11;0,1525
6;0,5;Fase 1;300;12,66;1837,77;0,1838
7;0,6;Fase 1;300;15,25;2153,02;0,2153
8;0,7;Fase 1;300;17,87;2470,89;0,2471
9;0,8;Fase 1;300;20,51;2791,4;0,2791
10;0,8;Fase 1;300;23,17;3114,57;0,3115
11;0,9;Fase 1;300;25,85;3440,42;0,344
12;1,0;Fase 1;300;28,56;3768,97;0,3769
13;1,1;Fase 1;300;31,28;4100,26;0,41
14;1,2;Fase 1;300;34,03;4434,29;0,4434
15;1,2;Fase 1;300;36,8;4771,09;0,4771
16;1,3;Fase 1;300;39,6;5110,69;0,5111
17;1,4;Fase 1;300;42,42;5453,11;0,5453
18;1,5;Fase 1;300;45,26;5798,37;0,5798
19;1,6;Fase 1;300;48,13;6146,5;0,6146
20;1,7;Fase 1;300;51,02;6497,51;0,6498
21;1,8;Fase 1;300;53,93;6851,44;0,6851
22;1,8;Fase 1;300;56,87;7208,31;0,7208
23;1,9;Fase 1;300;59,83;7568,14;0,7568
24;2,0;Fase 1;300;62,82;7930,95;0,7931
25;2,1;Fase 2;500;65,83;8496,78;0,8497
26;2,2;Fase 2;500;70,52;9067,31;0,9067
27;2,2;Fase 2;500;75,26;9642,56;0,9643
28;2,3;Fase 2;500;80,03;10222,6;1,0223
29;2,4;Fase 2;500;84,85;10807,44;1,0807
30;2,5;Fase 2;500;89,7;11397,15;1,1397
31;2,6;Fase 2;500;94,6;11991,74;1,1992
32;2,7;Fase 2;500;99,53;12591,27;1,2591
33;2,8;Fase 2;500;104,51;13195,78;1,3196
34;2,8;Fase 2;500;109,52;13805,31;1,3805
35;2,9;Fase 2;500;114,58;14419,89;1,442
36;3,0;Fase 2;500;119,69;15039,58;1,504
37;3,1;Fase 2;500;124,83;15664,4;1,5664
38;3,2;Fase 2;500;130,01;16294,42;1,6294
39;3,2;Fase 2;500;135,24;16929,66;1,693
40;3,3;Fase 2;500;140,52;17570,18;1,757
41;3,4;Fase 2;500;145,83;18216,01;1,8216
42;3,5;Fase 2;500;151,19;18867,2;1,8867
43;3,6;Fase 2;500;156,6;19523,8;1,9524
44;3,7;Fase 2;500;162,05;20185,85;2,0186
45;3,8;Fase 2;500;167,54;20853,39;2,0853
46;3,8;Fase 2;500;173,08;21526,48;2,1526
47;3,9;Fase 2;500;178,67;22205,14;2,2205
48;4,0;Fase 2;500;184,3;22889,45;2,2889
49;4,1;Fase 3;700;189,98;23779,43;2,3779
50;4,2;Fase 3;700;197,37;24676,8;2,4677
51;4,2;Fase 3;700;204,82;25581,62;2,5582
52;4,3;Fase 3;700;212,33;26493,94;2,6494
53;4,4;Fase 3;700;219,9;27413,84;2,7414
54;4,5;Fase 3;700;227,53;28341,38;2,8341
55;4,6;Fase 3;700;235,23;29276,61;2,9277
56;4,7;Fase 3;700;243,0;30219,61;3,022
57;4,8;Fase 3;700;250,82;31170,43;3,117
58;4,8;Fase 3;700;258,71;32129,15;3,2129
59;4,9;Fase 3;700;266,67;33095,82;3,3096
60;5,0;Fase 3;700;274,7;34070,51;3,4071
61;5,1;Fase 3;700;282,79;35053,3;3,5053
62;5,2;Fase 3;700;290,94;36044,24;3,6044
63;5,2;Fase 3;700;299,17;37043,41;3,7043
64;5,3;Fase 3;700;307,46;38050,87;3,8051
65;5,4;Fase 3;700;315,82;39066,69;3,9067
66;5,5;Fase 3;700;324,25;40090,94;4,0091
67;5,6;Fase 3;700;332,75;41123,7;4,1124
68;5,7;Fase 3;700;341,33;42165,03;4,2165
69;5,8;Fase 3;700;349,97;43214,99;4,3215
70;5,8;Fase 3;700;358,68;44273,68;4,4274
71;5,9;Fase 3;700;367,47;45341,15;4,5341
72;6,0;Fase 3;700;376,33;46417,48;4,6417
